age,non-moving balance,policy
22,20000,Aegon Life Term Plan
22,35000,Aegon Life Term Plan
22,39000,Aviva I-Life Plan
22,42000,Aviva I-Life Plan
22,45000,Aviva I-Life Plan
23,20000,Aegon Life Term Plan
23,32000,Aegon Life Term Plan
23,43000,Aviva I-Life Plan
23,56000,Bajaj Allianzi Secure
24,25000,Aegon Life Term Plan
24,38000,Aviva I-Life Plan
24,47000,Bajaj Allianzi Secure
24,60000,Bajaj Allianzi Secure
25,20000,Aegon Life Term Plan
25,40000,Bajaj Allianzi Secure
25,52000,Bajaj Allianzi Secure
25,69000,Bharti AXA eProtect
25,78000,Bharti AXA eProtect
26,20000,Aegon Life Term Plan
26,55000,Bajaj Allianzi Secure
26,37000,Aviva I-Life Plan
26,65000,Bharti AXA eProtect
26,85000,Bharti AXA eProtect
